web_scraper_order,web_scraper_start_url,prix,nom,adresse,url_image
"1772096747-1","https://sn.coinafrique.com/categorie/moutons?page=16","600 000CFA","Moutons Ladoum","Mbour, Sénégal","https://images.coinafrique.com/thumb_821121_uploaded_image1_1565195094.42.png"
"1772096747-2","https://sn.coinafrique.com/categorie/moutons?page=16","125 000CFA","Mouton","Guédiawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_817625_uploaded_image1_1565109322.3.png"
"1772096747-3","https://sn.coinafrique.com/categorie/moutons?page=16","200 000CFA","Moutons","Sénégal","https://images.coinafrique.com/thumb_816772_uploaded_image1_1565095331.9.png"
"1772096747-4","https://sn.coinafrique.com/categorie/moutons?page=16","450 000CFA","Mouton","Sénégal","https://images.coinafrique.com/thumb_816757_uploaded_image1_1565095118.35.png"
"1772096747-5","https://sn.coinafrique.com/categorie/moutons?page=16","200 000CFA","Mouton de Tabaski","Sénégal","https://images.coinafrique.com/thumb_814608_uploaded_image1_1565037403.53.png"
"1772096747-6","https://sn.coinafrique.com/categorie/moutons?page=16","100 000CFA","Mouton","Sénégal","https://images.coinafrique.com/thumb_813350_uploaded_image1_1565013886.42.png"
"1772096747-7","https://sn.coinafrique.com/categorie/moutons?page=16","200 000CFA","Mouton","Sénégal","https://images.coinafrique.com/thumb_813339_uploaded_image1_1565013644.12.png"
"1772096747-8","https://sn.coinafrique.com/categorie/moutons?page=16","200 000CFA","Mouton","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_812873_uploaded_image1_1565005940.44.png"
"1772096747-9","https://sn.coinafrique.com/categorie/moutons?page=16","500 000CFA","Moutons","Dakar, Sénégal","https://images.coinafrique.com/thumb_811661_uploaded_image1_1564966582.22.png"
"1772096747-10","https://sn.coinafrique.com/categorie/moutons?page=16","700 000CFA","Moutons","Dakar, Sénégal","https://images.coinafrique.com/thumb_811659_uploaded_image1_1564966498.04.png"
"1772096747-11","https://sn.coinafrique.com/categorie/moutons?page=16","200 000CFA","Moutons","Sénégal","https://images.coinafrique.com/thumb_811594_uploaded_image1_1564961187.75.png"
"1772096747-12","https://sn.coinafrique.com/categorie/moutons?page=16","650 000CFA","Moutons","Dakar, Sénégal","https://images.coinafrique.com/thumb_808861_uploaded_image1_1564856185.45.png"
"1772096747-13","https://sn.coinafrique.com/categorie/moutons?page=16","700 000CFA","Moutons","Dakar, Sénégal","https://images.coinafrique.com/thumb_808847_uploaded_image1_1564855996.2.png"
"1772096747-14","https://sn.coinafrique.com/categorie/moutons?page=16","700 000CFA","Moutons","Dakar, Sénégal","https://images.coinafrique.com/thumb_808844_uploaded_image1_1564855896.73.png"
"1772096747-15","https://sn.coinafrique.com/categorie/moutons?page=16","350 000CFA","Mouton de race","Sénégal","https://images.coinafrique.com/thumb_806719_uploaded_image1_1564781347.58.png"
"1772096747-16","https://sn.coinafrique.com/categorie/moutons?page=16","400 000CFA","Mouton","Sénégal","https://images.coinafrique.com/thumb_806646_uploaded_image1_1564777404.89.png"
"1772096747-17","https://sn.coinafrique.com/categorie/moutons?page=16","250 000CFA","Mouton","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_805188_uploaded_image1_1564750708.3.png"
"1772096747-18","https://sn.coinafrique.com/categorie/moutons?page=16","200 000CFA","Moutons","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_804227_uploaded_image1_1564738205.66.png"
"1772096747-19","https://sn.coinafrique.com/categorie/moutons?page=16","300 000CFA","Mouton","Dakar, Sénégal","https://images.coinafrique.com/thumb_803088_uploaded_image1_1564684268.56.png"
"1772096747-20","https://sn.coinafrique.com/categorie/moutons?page=16","200 000CFA","Mouton de Tabaski","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_799765_uploaded_image1_1564597010.71.png"
"1772096747-21","https://sn.coinafrique.com/categorie/moutons?page=16","225 000CFA","Mouton de Tabaski","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_799761_uploaded_image1_1564596876.58.png"
