nom,prix,prix_clean,categorie_prix,adresse,ville,url_image,date_nettoyage,fichier_source
Bœufs,350 000CFA,350000.0,Très élevé (> 200k),"Louga, Sénégal",Louga,https://images.coinafrique.com/thumb_2694720_uploaded_image1_1602689075.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Bœufs,350 000CFA,350000.0,Très élevé (> 200k),"Louga, Sénégal",Louga,https://images.coinafrique.com/thumb_2694719_uploaded_image1_1602688985.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Vaches laitières,2 000 000CFA,2000000.0,Très élevé (> 200k),"Mbour, Sénégal",Mbour,https://images.coinafrique.com/thumb_2687649_uploaded_image1_1602441772.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Chèvre Bouc de race,200 000CFA,200000.0,Très élevé (> 200k),"Louga, Sénégal",Louga,https://images.coinafrique.com/thumb_2675855_uploaded_image1_1601992602.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Bouc chèvre,100 000CFA,100000.0,Élevé (100k-200k),"Diamniadio, Sénégal",Autre,https://images.coinafrique.com/thumb_2673741_uploaded_image2_1601909107.jpeg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Paon bleu,225 000CFA,225000.0,Très élevé (> 200k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_2663712_uploaded_image1_1601554766.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Chatons,Prix sur demande,,Non spécifié,"Gorée, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_2637004_uploaded_image1_1600508302.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Oie,100 000CFA,100000.0,Élevé (100k-200k),"Mbour, Sénégal",Mbour,https://images.coinafrique.com/thumb_2630503_uploaded_image1_1600266971.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Oiseau Maknol,Prix sur demande,,Non spécifié,"Kaffrine, Sénégal",Autre,https://images.coinafrique.com/thumb_2583338_uploaded_image1_1598650419.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Oies,80 000CFA,80000.0,Moyen (50k-100k),"Diourbel, Sénégal",Diourbel,https://images.coinafrique.com/thumb_2550824_uploaded_image1_1597673774.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Vaches hollandaises,Prix sur demande,,Non spécifié,"Saint Louis, Sénégal",Autre,https://images.coinafrique.com/thumb_2434087_uploaded_image1_1594647765.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Géniteur hollandais Holstein,1 200 000CFA,1200000.0,Très élevé (> 200k),"Mboro, Sénégal",Autre,https://images.coinafrique.com/thumb_2430101_uploaded_image1_1594560513.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Dindes,Prix sur demande,,Non spécifié,"Mbour, Sénégal",Mbour,https://images.coinafrique.com/thumb_2421638_uploaded_image1_1594369039.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Souris blanc,Prix sur demande,,Non spécifié,"Hann Bel-Air, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_2407511_uploaded_image1_1594131854.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Couples Paons,250 000CFA,250000.0,Très élevé (> 200k),"Keur Massar, Sénégal",Autre,https://images.coinafrique.com/thumb_2394305_uploaded_image2_1593898972.jpeg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Chat blanc turc,150 000CFA,150000.0,Élevé (100k-200k),"Mermoz-Sacré Coeur, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_2388043_uploaded_image1_1593787521.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Dinde,20 000CFA,20000.0,Bas (< 50k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_2351112_uploaded_image1_1593181120.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Kittens / chatons,90 000CFA,90000.0,Moyen (50k-100k),"Yoff, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_2319268_uploaded_image1_1592689460.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Perruches,Prix sur demande,,Non spécifié,"Point E, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_2296024_uploaded_image1_1592332889.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Oies,130 000CFA,130000.0,Élevé (100k-200k),"Medina, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_2281845_uploaded_image1_1592124037.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Vache,Prix sur demande,,Non spécifié,"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_2276153_uploaded_image1_1592008517.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Oies,1 000CFA,1000.0,Bas (< 50k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_2275120_uploaded_image1_1591990153.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Taureau Nélore,Prix sur demande,,Non spécifié,"Guediawaye, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_2251055_uploaded_image1_1591656431.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Chaton york chocolat,150 000CFA,150000.0,Élevé (100k-200k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_2240976_uploaded_image1_1591487576.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Boeufs,600 000CFA,600000.0,Très élevé (> 200k),"Bambey, Sénégal",Autre,https://images.coinafrique.com/thumb_2239779_uploaded_image1_1591466346.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Poussins brahman et cochin,Prix sur demande,,Non spécifié,"Keur Massar, Sénégal",Autre,https://images.coinafrique.com/thumb_2230369_uploaded_image1_1591316836.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Boeufs,Prix sur demande,,Non spécifié,"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_2161624_uploaded_image1_1590236359.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Bœuf élevage,750 000CFA,750000.0,Très élevé (> 200k),"Guediawaye, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_2147334_uploaded_image1_1590007941.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Boeuf,Prix sur demande,,Non spécifié,"Fann, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_2101700_uploaded_image1_1589308300.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Boeuf,Prix sur demande,,Non spécifié,"Sicap Liberté, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_2088141_uploaded_image1_1589099089.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Chèvre Race Boer,650 000CFA,650000.0,Très élevé (> 200k),"Patte d'oie, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_2061898_uploaded_image1_1588694077.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Chaton persan blanc,Prix sur demande,,Non spécifié,"Fann, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_2052355_uploaded_image1_1588568181.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Chaton persan chinchilla,Prix sur demande,,Non spécifié,"Fann, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_2025374_uploaded_image1_1588119661.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Boeuf,475CFA,475.0,Bas (< 50k),"Dakar Plateau, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1998573_uploaded_image1_1587685670.89.jpeg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Chaton,Prix sur demande,,Non spécifié,"Fann, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1962491_uploaded_image1_1587134135.76.jpeg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Bœufs,Prix sur demande,,Non spécifié,"Diourbel, Sénégal",Diourbel,https://images.coinafrique.com/thumb_1954085_uploaded_image1_1587026162.65.jpeg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Vaches,Prix sur demande,,Non spécifié,"Diourbel, Sénégal",Diourbel,https://images.coinafrique.com/thumb_1935629_uploaded_image1_1586731094.02.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
