nom,prix,prix_clean,categorie_prix,adresse,ville,url_image,date_nettoyage,fichier_source
Lapins de race,70 000CFA,70000.0,Moyen (50k-100k),"Guediawaye, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1291215_uploaded_image1_1575425694.27.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Lapins de race,70 000CFA,70000.0,Moyen (50k-100k),"Guediawaye, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1291213_uploaded_image1_1575425609.27.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Lapereaux fauve,Prix sur demande,,Non spécifié,"Ngor, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1261253_uploaded_image1_1574871227.98.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Pigeon mondain,20 000CFA,20000.0,Bas (< 50k),"Mermoz-Sacré-Cœur, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1247406_uploaded_image1_1574631655.88.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Pigeon fauve,10 000CFA,10000.0,Bas (< 50k),"Mermoz-Sacré-Cœur, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1246480_uploaded_image1_1574613561.29.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Pigeon à queue de paon indien,20 000CFA,20000.0,Bas (< 50k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1242200_uploaded_image1_1574510941.51.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Pigeons,60 000CFA,60000.0,Moyen (50k-100k),"Pikine, Sénégal",Autre,https://images.coinafrique.com/thumb_1209192_uploaded_image1_1573933592.0.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Jeune femelle lavande,20 000CFA,20000.0,Bas (< 50k),"Les Parcelles Assainies, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1204935_uploaded_image1_1573840898.61.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Poussin - 1 jour,Prix sur demande,,Non spécifié,Sénégal,Autre,https://images.coinafrique.com/thumb_1159518_uploaded_image1_1572985208.46.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Lawar,30 000CFA,30000.0,Bas (< 50k),"Mermoz-Sacré-Cœur, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1148681_uploaded_image1_1572794832.68.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Maton,25 000CFA,25000.0,Bas (< 50k),"Mermoz-Sacré-Cœur, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1148605_uploaded_image1_1572793285.71.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Poulets Guinars tiirr,Prix sur demande,,Non spécifié,"Patte d'oie, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1146827_uploaded_image2_1572746441.92.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Pigeons,Prix sur demande,,Non spécifié,"Fatick, Sénégal",Fatick,https://images.coinafrique.com/thumb_1137405_uploaded_image2_1572537461.89.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Bleu hollandais,25 000CFA,25000.0,Bas (< 50k),Sénégal,Autre,https://images.coinafrique.com/thumb_1115010_uploaded_image1_1572106167.81.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Couple pigeons cravatés français,50 000CFA,50000.0,Moyen (50k-100k),"Cambérène, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1112720_uploaded_image1_1572054298.36.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Pigeon links,Prix sur demande,,Non spécifié,"Diourbel, Sénégal",Diourbel,https://images.coinafrique.com/thumb_1091921_uploaded_image1_1571681099.26.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Lapin géant des Flandres,35 000CFA,35000.0,Bas (< 50k),"Mermoz-Sacré Coeur, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1072763_uploaded_image1_1571252694.33.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Perroquet,75 000CFA,75000.0,Moyen (50k-100k),"Hann Bel-Air, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1040990_uploaded_image1_1570583700.42.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Lapin géant,45 000CFA,45000.0,Bas (< 50k),"Yoff, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1023073_uploaded_image1_1570188340.15.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
