nom,prix,prix_clean,categorie_prix,adresse,ville,url_image,date_nettoyage,fichier_source
Moutons Ladoum,600 000CFA,600000.0,Très élevé (> 200k),"Mbour, Sénégal",Mbour,https://images.coinafrique.com/thumb_821121_uploaded_image1_1565195094.42.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton,125 000CFA,125000.0,Élevé (100k-200k),"Guédiawaye, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_817625_uploaded_image1_1565109322.3.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Moutons,200 000CFA,200000.0,Très élevé (> 200k),Sénégal,Autre,https://images.coinafrique.com/thumb_816772_uploaded_image1_1565095331.9.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton,450 000CFA,450000.0,Très élevé (> 200k),Sénégal,Autre,https://images.coinafrique.com/thumb_816757_uploaded_image1_1565095118.35.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton de Tabaski,200 000CFA,200000.0,Très élevé (> 200k),Sénégal,Autre,https://images.coinafrique.com/thumb_814608_uploaded_image1_1565037403.53.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton,100 000CFA,100000.0,Élevé (100k-200k),Sénégal,Autre,https://images.coinafrique.com/thumb_813350_uploaded_image1_1565013886.42.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton,200 000CFA,200000.0,Très élevé (> 200k),Sénégal,Autre,https://images.coinafrique.com/thumb_813339_uploaded_image1_1565013644.12.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton,200 000CFA,200000.0,Très élevé (> 200k),"Les Parcelles Assainies, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_812873_uploaded_image1_1565005940.44.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Moutons,500 000CFA,500000.0,Très élevé (> 200k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_811661_uploaded_image1_1564966582.22.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Moutons,700 000CFA,700000.0,Très élevé (> 200k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_811659_uploaded_image1_1564966498.04.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Moutons,200 000CFA,200000.0,Très élevé (> 200k),Sénégal,Autre,https://images.coinafrique.com/thumb_811594_uploaded_image1_1564961187.75.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
